Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
COWT400,All Men's,Shoe,The Court - Blanco/Grey,7 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT410,All Men's,Shoe,The Court - Blanco/Grey,8 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT415,All Men's,Shoe,The Court - Blanco/Grey,8.5 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT420,All Men's,Shoe,The Court - Blanco/Grey,9 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT425,All Men's,Shoe,The Court - Blanco/Grey,9.5 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT430,All Men's,Shoe,The Court - Blanco/Grey,10 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT435,All Men's,Shoe,The Court - Blanco/Grey,10.5 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT440,All Men's,Shoe,The Court - Blanco/Grey,11 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT445,All Men's,Shoe,The Court - Blanco/Grey,11.5 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
COWT450,All Men's,Shoe,The Court - Blanco/Grey,12 White,179.00,Yes,https://www.greats.com/products/the-court-blanco-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-192-Court-Classic-Blanco-Grey-COWT-Product-101.jpg?v=1554406021,"<meta charset=""utf-8"">
<p>The Court is inspired by classic basketball heritage and is handmade in Italy by world renowned craftsmen using locally sourced premium Italian leather and luxurious suede accents for broken-in comfort. <br><br>The inside is lined with the same soft leather, making socks optional. The Court is lasted on top of an all-rubber Margom outsole to maximize comfort.</p>"
